chr	start	end	V6	V4
chr6	30539169	30559309	+	NM_001025091
chr6	28129538	28137373	+	NR_103448
chr5	137673223	137685418	+	NM_001135647
chr5	136310986	136835018	-	NM_004598
chr10	118430702	118502085	-	NM_025015
chr6	30457182	30461982	+	NM_005516
chr17	66863427	66951533	-	NM_001288986
chr19	10812111	10824043	+	NM_031209
chr12	32943679	33049780	-	NM_001005242
chr20	62496580	62522898	+	NM_003288
chr6	32121775	32136062	+	NR_037861
chr3	50643884	50649262	-	NM_145071
chr20	10733737	10734675	+	NR_110611
chr9	134378288	134399193	+	NM_007171
chr7	20686965	20796637	+	NM_178559
chr19	21987750	22034870	-	NM_001256648
chr3	43120720	43147575	-	NM_032806
chr2	188328957	188419219	-	NM_006287
chr11	89057521	89224146	-	NM_001291927
chr12	54104902	54121307	-	NM_001143682
chr7	29238655	29248586	-	NR_120522
chr2	26915580	26954066	+	NM_002246
chr10	17428934	17450285	+	NR_034129
chr16	57728712	57765367	+	NM_032269
chr6	55299170	55444012	-	NR_109869
chr18	22208145	22242162	+	NR_040033
chr20	23355155	23402156	-	NM_001283026
chr12	76738265	76742222	-	NM_024685
chrX	153029650	153044801	+	NM_005393
chr1	10707262	10856733	-	NM_017766
chr5	68485374	68506184	+	NM_022909
chr9	124030379	124095120	+	NM_001127662
chr10	135207620	135234174	+	NM_138384
chr4	108968700	109090112	-	NM_001130713
chrY	27768263	27770485	+	NM_170723
chr11	2017988	2018061	-	NR_030533
chr8	49984899	49988642	+	NM_001256598
chr3	119147806	119182529	-	NR_073506
chr19	58570606	58581110	+	NM_001164529
chr4	113970784	114304896	+	NM_020977
chr1	160454819	160493052	-	NM_001184716
chr15	89055713	89089912	-	NR_026645
chr12	31824070	31882108	-	NR_103522
chr12	56555635	56583351	-	NM_139067
chr6	35310334	35395968	+	NM_001171820
chr7	154002296	154686000	+	NM_001936
chr5	132332676	132362275	-	NR_125337
chr9	95820969	95847418	+	NM_001287007
chr7	107204401	107218968	+	NR_073003
chr16	89894906	89937727	+	NM_032451
chr5	37291734	37371228	-	NM_004298
chr12	50721094	50790405	-	NM_001145475
chr10	18240767	18332221	+	NM_001282734
chr1	109656584	109749403	+	NM_020775
chr6	10762955	10838788	-	NM_001242957
chr2	113973573	114036498	-	NM_013953
chr10	74870132	74891586	+	NM_001283017
chr7	130626518	130794675	-	NR_109855
chr11	33563876	33695646	+	NM_012194
chr10	104404251	104418076	+	NM_030912
chr15	80135888	80189339	-	NR_037654
chr1	247273461	247275719	-	NM_207401
chr12	15260715	15374411	-	NM_032918
chr8	104383742	104395232	+	NM_138455
chr22	51007289	51021428	-	NR_027928
chr12	94853778	94856344	+	NR_027035
chr19	10596795	10614054	-	NM_203500
chr15	77223961	77242601	+	NM_002902
chr4	119771842	119982402	+	NM_001286754
chr9	101978706	101984246	-	NR_024532
chr5	159343739	159400017	+	NM_000679
chr15	102358389	102359328	+	NM_001001674
chr10	43867091	43871783	+	NM_173160
chr1	16767166	16786584	+	NM_001145277
chr19	40885177	40896094	-	NM_144685
chr14	101292444	101327360	+	NR_046466
chrX	21392535	21672813	+	NM_014927
chr9	139981378	140003639	+	NR_045720
chr8	54138275	54164194	-	NM_000912
chr16	61554	64090	+	NR_045117
chr2	155555092	155714864	+	NM_002239
chr17	76227390	76237068	+	NM_001204211
chr11	2421717	2425108	+	NM_001297660
chrX	118108576	118152318	+	NR_110311
chr1	11796141	11810828	+	NM_001040197
chr15	66839805	66857835	-	NM_207338
chr19	16472388	16582823	-	NR_047666
chr7	73624086	73644164	+	NM_032463
chr18	54318615	54697036	+	NM_015285
chr19	50168398	50177173	+	NM_138639
chr19	53115617	53141644	-	NM_001105552
chr5	134303595	134347397	+	NM_178019
chr9	116077930	116102620	-	NM_001012361
chr6	26087508	26095469	+	NM_139010
chr16	29985187	29999726	+	NM_016151
chrX	22180848	22191100	-	NR_046639
chr12	6456008	6486523	-	NM_001159575
chr7	44178462	44180916	-	NM_021223
chr1	852197	855072	-	NR_122045
chr4	9345873	9347466	+	NM_001242327
chr17	26205339	26220409	-	NM_001076680
chr1	115397423	115537990	+	NM_001282542
chr1	20686293	20755287	-	NR_033887
chr17	56422535	56429599	-	NM_003168
chr22	48670175	48670227	+	NR_036172
chr22	19023794	19109967	-	NM_001173533
chr2	37311593	37326387	+	NM_174931
chr22	48934711	48943199	-	NR_038917
chr3	168801286	169381563	-	NM_004991
chr17	6926368	6932961	+	NM_181844
chr17	5082830	5095178	-	NM_032530
chr1	209941832	209953002	+	NM_001287754
chr1	212781969	212794119	+	NM_001040619
chr1	154193324	154235981	+	NM_001287815
chr3	51741080	51752625	+	NM_000839
chr1	31769828	31837800	+	NM_001282567
chr22	39410264	39414825	+	NM_014508
chr17	38904272	38911584	-	NM_181534
chr1	152658598	152659876	+	NM_014357
