chr	start	end	V4	V6
chr1	66999824	67210768	NM_032291	+
chr1	33546729	33586132	NM_001301823	+
chr1	25071759	25170815	NM_013943	+
chr1	48998526	50489626	NM_032785	-
chr1	33546713	33586132	NM_052998	+
chr1	16767166	16786584	NM_001145277	+
chr1	33547778	33567493	NR_126031	+
chr1	16767166	16786584	NM_001145278	+
chr1	16767166	16786584	NM_018090	+
chr1	8378144	8404227	NM_001080397	+
chr1	33546713	33586132	NM_001293562	+
chr1	33547778	33586132	NM_001301825	+
chr1	33546729	33586132	NM_001301824	+
chr1	33547778	33567493	NM_001301826	+
chr1	100652477	100715409	NM_001918	-
chr1	92145899	92351836	NM_001195683	-
chr1	92145899	92351836	NR_036634	-
chr1	92145899	92351836	NM_003243	-
chr1	92145899	92371559	NM_001195684	-
chr1	175913961	176176380	NM_022457	-
chr1	184356149	184598155	NM_030806	+
chr1	150980972	151008189	NM_021222	+
chr1	175913961	176176380	NM_001286644	-
chr1	175913961	176176380	NM_001001740	-
chr1	226418849	226497204	NM_173083	-
chr1	226418849	226497204	NM_001270409	-
chr1	226418849	226497449	NM_001270410	-
chr1	2985741	3355185	NM_199454	+
chr1	1017197	1051736	NM_017891	-
chr1	6845383	7829766	NM_015215	+
chr1	1981908	2116834	NM_002744	+
chr1	2036154	2116834	NM_001033582	+
chr1	2985741	3355185	NM_022114	+
chr1	6281252	6296044	NM_012405	-
chr1	2005085	2116834	NM_001033581	+
chr1	2005424	2116834	NM_001242874	+
chr1	13328195	13698405	NM_001099850	-
chr1	13629924	13635299	NM_001039361	+
chr1	13629931	13635299	NM_001291381	+
chr1	23037330	23241823	NM_017449	+
chr1	20959947	20978004	NM_032409	+
chr1	23037330	23241823	NM_004442	+
chr1	22004791	22109688	NM_032236	-
chr1	20969149	20978686	NR_046507	-
chr1	32479294	32509482	NM_006559	+
chr1	32479294	32509482	NM_001271878	+
chr1	28296854	28415148	NM_001282562	-
chr1	28296854	28415148	NM_001282561	-
chr1	28303783	28415148	NM_001282560	-
chr1	29213602	29446558	NM_004437	+
chr1	29213602	29446558	NM_203342	+
chr1	29241087	29391733	NM_001166006	+
chr1	29213602	29446558	NM_001166005	+
chr1	29213602	29446558	NM_001166007	+
chr1	28296854	28415148	NM_001990	-
chr1	27248212	27273362	NM_006600	+
chr1	31404352	31538564	NM_014676	-
chr1	29213602	29446558	NM_203343	+
chr1	32479294	32509482	NR_073498	+
chr1	32479294	32526460	NR_073499	+
chr1	31404352	31538564	NM_001020658	-
chr1	26210676	26232993	NM_001145454	-
chr1	36690016	36770957	NM_005119	+
chr1	35649200	35658743	NM_005066	-
chr1	33979598	34630875	NM_001281956	-
chr1	33979598	34631443	NM_052896	-
chr1	39549838	39952810	NM_012090	+
chr1	43996546	44089343	NM_002840	+
chr1	43996546	44089343	NM_130440	+
chr1	48226199	48462562	NM_001194986	-
chr1	46092975	46152302	NM_021639	-
chr1	44870959	45117396	NM_018150	+
chr1	54519273	54565416	NM_153035	+
chr1	53392900	53517289	NM_001193617	+
chr1	57463578	58716211	NM_021080	-
chr1	52373627	52456436	NM_002867	-
chr1	55532031	55681039	NM_015306	-
chr1	53392900	53517289	NM_002979	+
chr1	53392900	53517289	NM_001193599	+
chr1	53392900	53517289	NM_001193600	+
chr1	50906934	51425936	NM_007051	-
chr1	59762624	60228402	NM_018291	+
chr1	61547979	61928460	NM_005595	+
chr1	61547979	61928460	NM_001134673	+
chr1	62901974	62917475	NM_001017415	+
chr1	59762683	60165066	NR_103473	+
chr1	61547533	61928460	NM_001145512	+
chr1	64971596	65158741	NM_001293274	+
chr1	65886334	66103176	NM_002303	+
chr1	61542945	61928460	NM_001145511	+
chr1	63906440	63988944	NM_001206739	-
chr1	63906440	63988944	NM_014288	-
chr1	62902382	62917475	NM_003368	+
chr1	64936475	65158741	NM_020925	+
chr1	59762624	60228402	NM_001113411	+
chr1	65991371	66101111	NM_001198689	+
chr1	63906440	63988944	NR_045147	-
chr1	65991371	66091917	NM_001198688	+
chr1	62901974	62917475	NM_001017416	+
chr1	65991371	66096095	NM_001198687	+
chr1	65886334	66101111	NM_001003679	+
chr1	65886334	66096095	NM_001003680	+
chr1	71868624	72748277	NM_173808	-
chr1	70225857	70589171	NM_020794	+
chr1	76540388	77042892	NM_001160011	+
chr1	77554666	77685132	NM_005482	-
chr1	76540388	77096669	NM_152996	+
chr1	85784167	86044046	NM_001134445	-
chr1	87012758	87046432	NM_012128	+
chr1	90098643	90185094	NM_032270	+
chr1	87012758	87046432	NR_024602	+
chr1	89003195	89150887	NR_110682	-
chr1	94352589	94375012	NM_002061	-
chr1	93307716	93427079	NM_001006605	-
chr1	95393583	95428826	NR_033998	+
chr1	93307716	93427079	NM_001252269	-
chr1	93307716	93427079	NM_001252270	-
chr1	93307716	93342707	NM_001252271	-
chr1	93298285	93427079	NM_001252273	-
chr1	96457623	96488436	NR_125991	+
chr1	107682744	108024475	NM_014917	+
chr1	107682628	108024475	NM_001113228	+
chr1	107682628	108024475	NM_001113226	+
chr1	114239823	114301777	NM_006608	-
chr1	111136201	111174096	NM_001204269	-
chr1	112162768	112259317	NM_001291896	+
chr1	110091185	110138454	NM_006496	+
chr1	112162404	112259317	NM_002884	+
chr1	112162404	112259317	NM_001010935	+
chr1	113243748	113249678	NM_001042679	-
chr1	113243748	113250025	NM_175744	-
chr1	113243748	113250025	NM_001042678	-
chr1	120477735	120612317	NM_001200001	-
chr1	118472371	118503049	NM_006784	+
chr1	120454175	120612317	NM_024408	-
chr1	145727665	145764206	NM_001201325	+
chr1	145727665	145764206	NM_001201326	+
chr1	145727665	145764206	NM_002614	+
chr1	144146810	146467744	NM_001278267	+
chr1	149912228	149982686	NM_020205	-
chr1	147574322	148346929	NM_001037501	-
chr1	148250249	149109725	NR_104217	-
chr1	144614958	144830407	NM_001037501	+
chr1	144614958	145370304	NM_001277444	+
chr1	145293370	146466121	NM_001302371	+
chr1	147574322	148346929	NR_102405	-
chr1	144614958	144830407	NR_102405	+
chr1	144614958	144830407	NR_102404	+
chr1	147574322	148346929	NR_102404	-
chr1	145293370	146466121	NM_001039703	+
chr1	144614958	144830407	NM_001037675	+
chr1	154134288	154164611	NM_152263	-
chr1	154127779	154155725	NM_001278188	-
chr1	154127779	154155725	NM_001278189	-
chr1	154127779	154155725	NM_153649	-
chr1	154127779	154150697	NM_001278191	-
chr1	154127779	154155725	NM_001278190	-
chr1	155183615	155197325	NR_002188	-
chr1	154127779	154155725	NM_001043353	-
chr1	154127779	154155725	NM_001043352	-
chr1	154127779	154155725	NM_001043351	-
chr1	154127779	154155725	NR_103461	-
chr1	156219014	156252620	NM_015327	-
chr1	164528596	164821060	NM_001204963	+
chr1	164528596	164821060	NM_002585	+
chr1	161475204	161489360	NM_021642	+
chr1	165667986	165679199	NR_036683	+
chr1	164528596	164821060	NM_001204961	+
chr1	161475204	161489360	NM_001136219	+
chr1	170904635	170967946	NM_025063	+
chr1	171810617	172102532	NM_001278252	+
chr1	171810617	172381857	NM_015569	+
chr1	170904611	171033906	NM_001163629	+
chr1	171810617	172381857	NM_001136127	+
chr1	173010359	173020103	NM_005092	-
chr1	175036993	175117202	NM_022093	+
chr1	177140632	177251558	NM_021165	+
chr1	179262848	179327814	NM_001252511	+
chr1	179262848	179327814	NM_001252512	+
chr1	180257351	180472022	NM_032360	-
