chr	start	end	V6	V4
chr2	152214105	152236562	+	NM_007115
chr1	31421964	31422052	-	NR_033295
chr4	185814153	185820615	-	NR_039975
chr11	19734880	20143147	+	NM_001244963
chr10	93170041	93274585	+	NM_001284274
chr9	131452253	131458675	+	NM_001248001
chr12	50523088	50561316	-	NM_001281731
chr19	55434876	55458873	-	NM_206828
chr14	96722546	96731100	+	NM_000710
chr1	113499036	113506690	+	NR_103744
chr7	92817898	92855832	-	NM_001288804
chr7	6414125	6443598	+	NM_018890
chrX	151918386	151922408	-	NM_005361
chr6	31367560	31383092	+	NM_001289153
chr17	38710021	38717265	-	NM_001301717
chr15	83211950	83316356	-	NM_001288819
chr7	23140846	23145322	-	NR_046220
chr8	41119475	41166990	-	NM_003012
chr2	9346893	9545812	+	NM_001135191
chr10	27484142	27531068	-	NM_001042473
chr7	100813773	100823557	-	NM_198571
chr1	184020784	184043344	+	NM_052965
chr15	28671636	28671730	+	NR_039732
chr7	142478756	142482399	+	NR_001296
chr17	4692253	4693884	+	NM_001014985
chr6	161768589	163148834	-	NM_013987
chr21	18885223	18942429	+	NM_001207064
chr1	158901336	158946849	+	NM_152501
chr6	109765265	109777190	-	NM_001159291
chr7	66018454	66057394	-	NR_111979
chr3	184089722	184097476	-	NM_001289998
chr20	50767816	50808524	-	NM_022088
chr19	54822434	54824409	-	NM_181879
chr14	42076763	42373752	+	NM_152447
chr5	179105558	179107975	-	NM_001164444
chr15	31357234	31357344	-	NR_029624
chr3	19988571	20026667	+	NM_001292048
chr1	213165523	213189217	-	NM_001300757
chr2	202047620	202086383	+	NM_001230
chr21	15646119	15673692	+	NR_003087
chr6	101846860	102517958	+	NM_175768
chr1	213003484	213020991	-	NM_001024601
chr1	21132784	21503381	-	NM_001198801
chr11	14479048	14521404	-	NM_016451
chr12	75728462	75764169	+	NM_152779
chr19	18304039	18307550	+	NM_032683
chr19	56989242	57006805	+	NR_036521
chr12	119772516	119978852	+	NM_178499
chr1	51435641	51440309	+	NM_078626
chr6	31694816	31698039	-	NM_013974
chr14	51800110	51832275	+	NR_038358
chr1	62660473	62678001	+	NM_019079
chr1	12907260	12908578	-	NM_001013631
chr3	153202283	153220486	+	NM_001101337
chr19	14693895	14721956	+	NR_109784
chr15	52121824	52204331	+	NM_014547
chr9	12775011	12823059	+	NM_203403
chr7	150709296	150721586	-	NR_073169
chr7	129470572	129592800	-	NM_003344
chr12	111086490	111126962	-	NM_032369
chrX	133303700	133303796	-	NR_029491
chr3	27757439	27764206	-	NM_005442
chr8	120569316	120651106	-	NM_001130863
chrX	125683365	125686842	-	NM_178470
chr1	152730505	152734529	+	NM_001025231
chr5	52405671	52410956	+	NR_034107
chr22	39410264	39414825	+	NM_014508
chr2	55461299	55461985	+	NR_039624
chrX	51075082	51080377	+	NM_153183
chr1	20439142	20446059	-	NM_012400
chr9	123850573	123939886	+	NM_007018
chr17	56048909	56065615	-	NM_007146
chr19	35168543	35177302	+	NM_001012320
chr8	120428551	120436678	+	NM_002514
chr4	150999425	151178608	+	NR_036614
chr5	159848813	159855751	+	NM_004219
chr14	96176303	96180533	-	NM_001098725
chr6	34214156	34216885	-	NM_178508
chr6	32260474	32339689	-	NM_006781
chr8	94041978	94042067	+	NR_107051
chr15	52043757	52108558	+	NM_001142885
chr11	126132813	126138877	-	NM_003139
chr20	3776385	3786768	+	NM_021873
chrX	149934808	150067289	-	NM_001242614
chr12	9747869	9760497	-	NM_002258
chr3	48473579	48481529	-	NM_001256968
chr1	206940947	206945839	-	NM_000572
chr1	3652547	3663937	-	NR_033710
chr1	6581406	6614658	-	NM_024654
chr9	45003233	45005290	-	NR_121606
chr2	127805598	127864903	-	NM_004305
chr11	9596233	9611313	+	NM_001143976
chr12	7342440	7364079	+	NM_001300789
chr19	11663857	11670051	-	NM_032377
chr9	93589701	93660842	+	NM_001174167
chr13	100634025	100639019	+	NM_007129
chr19	8576215	8579048	-	NM_032370
chr6	4186553	4190263	-	NR_125874
chr2	218899656	218955304	+	NR_034176
chr1	762970	794826	+	NR_047523
chrX	128872945	128903525	+	NM_003399
chr21	45959067	45960078	-	NM_198691
chr7	143880547	143883173	+	NM_198495
chrX	47917566	47930508	-	NM_001037735
chr6	43968336	43973694	+	NM_001171992
chr14	78174413	78183941	+	NM_001267863
chr16	67207755	67209640	+	NM_001276311
chrX	41192560	41209540	+	NM_001356
chr2	36923832	37041937	+	NM_053276
chr19	50341902	50354933	-	NR_040037
chr2	239419330	239464140	-	NR_037809
chr20	36888576	36917348	+	NR_104170
chr1	92495532	92529093	+	NM_173567
chr5	133634114	133706738	-	NM_001300853
chr18	77160273	77289323	+	NM_172389
chr1	47681961	47697387	-	NM_001287347
chr21	38378862	38391958	+	NM_018962
chr17	79163392	79196751	-	NM_014984
chr20	1161214	1165117	-	NM_018354
chr6	80714321	80752244	+	NM_003318
chr7	135071821	135194875	-	NM_001008225
chr8	7170367	7177473	+	NR_003668
chrX	52079698	52079784	-	NR_107055
chr3	111311746	111314182	-	NM_024508
chr22	19467348	19508135	+	NM_001178011
chr8	54628102	54755871	-	NM_015941
chr6	3259161	3264097	+	NM_001135750
chr19	45251977	45263301	+	NM_005178
chr11	78244221	78269611	+	NR_120566
chr8	1993157	2093380	+	NM_003970
chr13	51796469	51858377	+	NM_001242312
chr15	33595857	33602446	-	NR_120326
chr18	63417487	63548175	+	NM_033646
chr17	66255322	66417000	+	NM_014960
chr6	86323692	86351169	-	NM_001159675
chr12	12224401	12252627	+	NM_030766
chr14	32546494	32628934	+	NM_001173
chr4	15969848	16085623	-	NM_001145848
chr5	133936838	133968533	-	NM_001033503
chr7	80231522	80303734	+	NM_001289911
chr12	9217772	9220651	+	NR_026971
chrX	134866213	134874249	+	NM_001291535
chr2	69546900	69614386	-	NM_001244710
chr12	13127798	13153243	-	NM_015987
chr3	127317199	127341278	+	NM_004526
chr16	19535178	19564728	+	NM_001199022
chr8	7340025	7343909	-	NM_001040704
chr13	88270919	88270995	-	NR_039722
chr7	128502856	128505903	+	NM_001198909
chr5	55807220	55902059	-	NM_001287053
chr1	38462441	38471187	-	NM_004468
chr14	20896969	20903801	-	NM_001109997
chr19	15464331	15490612	-	NM_005858
chr15	83140203	83182973	-	NR_102747
chr4	9364854	9366447	+	NM_001256867
chr3	40432441	40494799	-	NR_040100
chr9	137533650	137736688	+	NM_001278074
chr3	184089722	184097476	-	NM_001290027
chr6	26634610	26659980	-	NM_001242797
chr1	55532031	55681039	-	NM_015306
chr3	25469753	25639422	+	NM_001290276
chr1	149754244	149783928	-	NM_001161334
chr18	66340924	66382353	-	NM_019022
chr6	112408673	112423993	+	NM_001033564
chr8	37263981	37351431	-	NR_121620
chr12	131438451	131626008	+	NM_198827
chr6	112574983	112575917	-	NM_001105208
chr7	129804552	129845338	-	NM_001301163
chr21	35818985	35831902	-	NM_001127669
chr2	71295407	71305998	+	NM_017567
chr12	120779132	120806983	-	NM_002442
chr1	248860362	248862411	+	NR_125950
chr1	54604667	54618679	-	NM_201546
chr10	74766979	74856732	-	NM_001142595
chr3	33038099	33138694	-	NM_000404
chr19	5690271	5691678	+	NM_033643
chr14	39735501	39820397	+	NM_203356
chr11	62760295	62783317	-	NM_001184736
chr16	20775311	20808479	+	NM_005622
chr10	38238794	38265453	-	NM_145011
chr11	5528529	5531153	-	NM_017481
chrX	16862774	16888534	-	NM_002893
